project_ID	projectLocation_ID	precision_code	geoname_ID	placename	latitude	longitude	location_type	R_ID	R_NAME	Z_ID	Z_NAME	D_ID	D_NAME	V_ID	V_NAME
8723881993	8723881993_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
87238100576	87238100576_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
87238100577	87238100577_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
87238100579	87238100579_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
87238100589	87238100589_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
87238100590	87238100590_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
87238100594	87238100594_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
87238100600	87238100600_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
87238102495	87238102495_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
87238107704	87238107704_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
872381092468	872381092468_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
87238109462	87238109462_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
87238109465	87238109465_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
87238109466	87238109466_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
87238109467	87238109467_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
87238109551	87238109551_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
87238109650	87238109650_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
87238109652	87238109652_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
87238109653	87238109653_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
87238109654	87238109654_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
87238110548	87238110548_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
87238110569	87238110569_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
87238110580	87238110580_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
87238110581	87238110581_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
87238110582	87238110582_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
87238110584	87238110584_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
87238110586	87238110586_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
87238110587	87238110587_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
8723811109	8723811109_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
8723811123	8723811123_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
87238113469	87238113469_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
8723811542	8723811542_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
87238117541	87238117541_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
87238120688	87238120688_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
87238120689	87238120689_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
8723816154	8723816154_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
872381998	872381998_1283241	2	1283241	"Kathmandu District"	27.70704	85.33218	"third-order administrative division"	NP-0000	Central	NP-0000-0000	Bagmati	NP-0000-0000-0034	Kathmandu		
